,category,year,value
0,Forest,1987,25214.8
1,Agriculture,1987,1059.86
2,Degraded,1987,126.5
3,Water,1987,115.76
4,Bare,1987,93.82
5,Urban,1987,30.4
6,Forest,2016,23585.28
7,Agriculture,2016,2786.22
8,Degraded,2016,12
9,Water,2016,70.8
10,Bare,2016,138.7
11,Urban,2016,48.14
12,Forest,2017,23676.88
13,Agriculture,2017,2687.64
14,Degraded,2017,12
15,Water,2017,65.82
16,Bare,2017,153.38
17,Urban,2017,45.42
18,Forest,2018,23515.04
19,Agriculture,2018,2826.92
20,Degraded,2018,12
21,Water,2018,100.5
22,Bare,2018,145.5
23,Urban,2018,41.18
24,Forest,2019,22697.56
25,Agriculture,2019,3640.36
26,Degraded,2019,12
27,Water,2019,94.48
28,Bare,2019,140.96
29,Urban,2019,55.78
30,Forest,2020,22000
31,Agriculture,2020,4278.54
32,Degraded,2020,12
33,Water,2020,134.76
34,Bare,2020,141.98
35,Urban,2020,73.86
36,Forest,2021,21481.42
37,Agriculture,2021,4734
38,Degraded,2021,12
39,Water,2021,126.28
40,Bare,2021,204.9
41,Urban,2021,82.54
42,Forest,2022,21059.54
43,Agriculture,2022,4566.42
44,Degraded,2022,704.34
45,Water,2022,65.38
46,Bare,2022,193.24
47,Urban,2022,52.22
